user_id,feature_enabled,experiment_selected_date,event_date,games_played,revenue,feature_enabled_during_use,After_Treatment,Diff_Days
1,0,1/17/18,1/15/18,31,0,1,0,-2
1,0,1/17/18,1/16/18,8,0,1,0,-1
1,0,1/17/18,1/17/18,27,0,0,1,0
1,0,1/17/18,1/18/18,20,0,0,1,1
1,0,1/17/18,1/19/18,39,0,0,1,2
1,0,1/17/18,1/20/18,23,0,0,1,3
1,0,1/17/18,1/21/18,16,0,0,1,4
1,0,1/17/18,1/22/18,29,0,0,1,5
1,0,1/17/18,1/23/18,20,0,0,1,6
1,0,1/17/18,1/24/18,24,0,0,1,7
11,1,1/22/18,1/22/18,5,0,2,1,0
12,0,1/17/18,1/15/18,32,0,1,0,-2
12,0,1/17/18,1/16/18,38,0,1,0,-1
12,0,1/17/18,1/17/18,42,0,0,1,0
12,0,1/17/18,1/18/18,34,0,0,1,1
12,0,1/17/18,1/19/18,16,0,0,1,2
12,0,1/17/18,1/20/18,22,0,0,1,3
12,0,1/17/18,1/21/18,25,0,0,1,4
12,0,1/17/18,1/22/18,28,0,0,1,5
12,0,1/17/18,1/23/18,23,0,0,1,6
12,0,1/17/18,1/24/18,19,0,0,1,7
22,1,1/17/18,1/15/18,27,0,1,0,-2
22,1,1/17/18,1/16/18,23,0,1,0,-1
22,1,1/17/18,1/17/18,27,0,2,1,0
22,1,1/17/18,1/18/18,18,0,2,1,1
22,1,1/17/18,1/19/18,34,0,2,1,2
22,1,1/17/18,1/20/18,21,0,2,1,3
22,1,1/17/18,1/21/18,23,0,2,1,4
22,1,1/17/18,1/22/18,27,0,2,1,5
22,1,1/17/18,1/23/18,25,0,2,1,6
22,1,1/17/18,1/24/18,22,0,2,1,7
32,1,1/19/18,1/19/18,4,0,2,1,0
33,0,1/17/18,1/15/18,5,0,1,0,-2
33,0,1/17/18,1/16/18,5,0,1,0,-1
33,0,1/17/18,1/17/18,6,0,0,1,0
33,0,1/17/18,1/18/18,5,0,0,1,1
33,0,1/17/18,1/19/18,5,0,0,1,2
33,0,1/17/18,1/21/18,5,0,0,1,4
33,0,1/17/18,1/22/18,3,0,0,1,5
33,0,1/17/18,1/23/18,1,0,0,1,6
41,0,1/20/18,1/20/18,2,0,0,1,0
42,0,1/17/18,1/15/18,1,0,1,0,-2
42,0,1/17/18,1/16/18,5,0,1,0,-1
42,0,1/17/18,1/17/18,10,0,0,1,0
42,0,1/17/18,1/18/18,1,0,0,1,1
42,0,1/17/18,1/19/18,5,0,0,1,2
42,0,1/17/18,1/20/18,0,0,0,1,3
42,0,1/17/18,1/21/18,5,0,0,1,4
42,0,1/17/18,1/22/18,0,0,0,1,5
42,0,1/17/18,1/23/18,0,0,0,1,6
42,0,1/17/18,1/24/18,0,0,0,1,7
52,1,1/17/18,1/15/18,1,0,1,0,-2
52,1,1/17/18,1/17/18,3,0,2,1,0
52,1,1/17/18,1/22/18,1,0,2,1,5
55,0,1/18/18,1/18/18,2,0,0,1,0
55,0,1/18/18,1/20/18,5,0,0,1,2
55,0,1/18/18,1/21/18,2,0,0,1,3
58,0,1/17/18,1/15/18,8,0,1,0,-2
58,0,1/17/18,1/16/18,22,3.98,1,0,-1
58,0,1/17/18,1/17/18,28,0,0,1,0
58,0,1/17/18,1/18/18,15,0,0,1,1
58,0,1/17/18,1/19/18,20,0,0,1,2
58,0,1/17/18,1/20/18,19,1.99,0,1,3
58,0,1/17/18,1/21/18,21,0,0,1,4
58,0,1/17/18,1/22/18,24,0,0,1,5
58,0,1/17/18,1/23/18,16,0,0,1,6
58,0,1/17/18,1/24/18,20,0,0,1,7
68,0,1/17/18,1/15/18,12,0,1,0,-2
68,0,1/17/18,1/16/18,29,0,1,0,-1
68,0,1/17/18,1/17/18,18,0,0,1,0
68,0,1/17/18,1/18/18,5,0,0,1,1
68,0,1/17/18,1/19/18,13,0,0,1,2
68,0,1/17/18,1/20/18,8,0,0,1,3
68,0,1/17/18,1/21/18,12,0,0,1,4
68,0,1/17/18,1/22/18,13,0,0,1,5
68,0,1/17/18,1/23/18,15,0,0,1,6
68,0,1/17/18,1/24/18,19,0,0,1,7
78,1,1/23/18,1/23/18,8,0,2,1,0
79,0,1/17/18,1/17/18,6,0,0,1,0
79,0,1/17/18,1/18/18,6,0,0,1,1
79,0,1/17/18,1/19/18,8,0,0,1,2
79,0,1/17/18,1/20/18,12,0,0,1,3
83,1,1/18/18,1/16/18,1,0,1,0,-2
83,1,1/18/18,1/18/18,4,0,2,1,0
83,1,1/18/18,1/19/18,0,0,2,1,1
83,1,1/18/18,1/20/18,1,0,2,1,2
83,1,1/18/18,1/21/18,3,0,2,1,3
83,1,1/18/18,1/24/18,2,0,2,1,6
89,1,1/17/18,1/15/18,13,0,1,0,-2
89,1,1/17/18,1/16/18,14,0,1,0,-1
89,1,1/17/18,1/17/18,9,0,2,1,0
89,1,1/17/18,1/18/18,10,0,2,1,1
89,1,1/17/18,1/19/18,12,0,2,1,2
89,1,1/17/18,1/20/18,14,0,2,1,3
89,1,1/17/18,1/21/18,8,0,2,1,4
89,1,1/17/18,1/22/18,18,0,2,1,5
89,1,1/17/18,1/23/18,15,0,2,1,6
89,1,1/17/18,1/24/18,14,0,2,1,7
99,0,1/19/18,1/19/18,6,0,0,1,0
99,0,1/19/18,1/23/18,3,0,0,1,4
99,0,1/19/18,1/24/18,0,0,0,1,5
102,0,1/17/18,1/15/18,5,0,1,0,-2
102,0,1/17/18,1/16/18,11,0,1,0,-1
102,0,1/17/18,1/17/18,19,0,0,1,0
102,0,1/17/18,1/19/18,8,0,0,1,2
102,0,1/17/18,1/22/18,11,0,0,1,5
107,1,1/19/18,1/19/18,7,0,2,1,0
108,0,1/17/18,1/15/18,0,0,1,0,-2
108,0,1/17/18,1/16/18,5,0,1,0,-1
108,0,1/17/18,1/17/18,12,0,0,1,0
108,0,1/17/18,1/18/18,10,0,0,1,1
108,0,1/17/18,1/19/18,5,0,0,1,2
108,0,1/17/18,1/20/18,3,0,0,1,3
108,0,1/17/18,1/21/18,8,0,0,1,4
108,0,1/17/18,1/22/18,0,0,0,1,5
108,0,1/17/18,1/23/18,0,0,0,1,6
117,0,1/17/18,1/15/18,7,0,1,0,-2
117,0,1/17/18,1/16/18,5,0,1,0,-1
117,0,1/17/18,1/17/18,8,0,0,1,0
117,0,1/17/18,1/19/18,7,0,0,1,2
117,0,1/17/18,1/21/18,5,0,0,1,4
117,0,1/17/18,1/22/18,16,0,0,1,5
123,0,1/23/18,1/21/18,17,0,1,0,-2
123,0,1/23/18,1/22/18,5,0,1,0,-1
123,0,1/23/18,1/23/18,1,0,0,1,0
123,0,1/23/18,1/24/18,6,0,0,1,1
127,1,1/20/18,1/19/18,0,0,1,0,-1
127,1,1/20/18,1/20/18,10,0,2,1,0
127,1,1/20/18,1/21/18,5,0,2,1,1
127,1,1/20/18,1/22/18,6,0,2,1,2
127,1,1/20/18,1/23/18,5,0,2,1,3
127,1,1/20/18,1/24/18,5,0,2,1,4
133,0,1/17/18,1/15/18,5,0,1,0,-2
133,0,1/17/18,1/16/18,2,0,1,0,-1
133,0,1/17/18,1/17/18,13,0,0,1,0
133,0,1/17/18,1/19/18,12,0,0,1,2
133,0,1/17/18,1/20/18,1,0,0,1,3
133,0,1/17/18,1/21/18,1,0,0,1,4
133,0,1/17/18,1/22/18,0,0,0,1,5
133,0,1/17/18,1/23/18,0,0,0,1,6
133,0,1/17/18,1/24/18,1,0,0,1,7
142,0,1/18/18,1/18/18,20,0,0,1,0
143,0,1/17/18,1/15/18,6,0,1,0,-2
143,0,1/17/18,1/17/18,6,0,0,1,0
143,0,1/17/18,1/19/18,4,0,0,1,2
143,0,1/17/18,1/22/18,16,0,0,1,5
147,0,1/17/18,1/17/18,6,0,0,1,0
147,0,1/17/18,1/20/18,4,0,0,1,3
147,0,1/17/18,1/21/18,5,0,0,1,4
147,0,1/17/18,1/23/18,5,0,0,1,6
147,0,1/17/18,1/24/18,4,0,0,1,7
152,0,1/17/18,1/16/18,11,0,1,0,-1
152,0,1/17/18,1/17/18,11,0,0,1,0
152,0,1/17/18,1/18/18,1,0,0,1,1
152,0,1/17/18,1/19/18,5,0,0,1,2
152,0,1/17/18,1/21/18,1,0,0,1,4
152,0,1/17/18,1/22/18,3,0,0,1,5
152,0,1/17/18,1/24/18,2,0,0,1,7
159,0,1/17/18,1/17/18,1,0,0,1,0
159,0,1/17/18,1/18/18,1,0,0,1,1
159,0,1/17/18,1/21/18,2,0,0,1,4
159,0,1/17/18,1/23/18,1,0,0,1,6
159,0,1/17/18,1/24/18,2,0,0,1,7
164,0,1/17/18,1/15/18,0,0,1,0,-2
164,0,1/17/18,1/16/18,0,0,1,0,-1
164,0,1/17/18,1/17/18,5,0,0,1,0
164,0,1/17/18,1/18/18,5,0,0,1,1
164,0,1/17/18,1/20/18,16,0,0,1,3
164,0,1/17/18,1/21/18,5,0,0,1,4
164,0,1/17/18,1/22/18,0,0,0,1,5
164,0,1/17/18,1/23/18,7,0,0,1,6
164,0,1/17/18,1/24/18,19,0,0,1,7
173,1,1/22/18,1/22/18,21,0,2,1,0
173,1,1/22/18,1/23/18,8,0,2,1,1
173,1,1/22/18,1/24/18,0,0,2,1,2
176,1,1/17/18,1/17/18,2,0,2,1,0
176,1,1/17/18,1/22/18,5,0,2,1,5
176,1,1/17/18,1/23/18,9,0,2,1,6
179,1,1/17/18,1/15/18,25,0,1,0,-2
179,1,1/17/18,1/16/18,16,0,1,0,-1
179,1,1/17/18,1/17/18,27,0,2,1,0
179,1,1/17/18,1/18/18,32,0,2,1,1
179,1,1/17/18,1/19/18,35,0,2,1,2
179,1,1/17/18,1/20/18,18,0,2,1,3
179,1,1/17/18,1/21/18,25,0,2,1,4
